Src IP,Dest IP,Protocol,Count,Unsecured
10.40.34.136,169.253.125.212,TCP,1,FALSE
10.40.34.136,169.253.125.212,HTTP,1,TRUE
10.40.32.112,169.253.125.212,ARP,1,FALSE
10.40.32.112,169.253.125.212,HTTP,1,TRUE
10.40.34.136,169.253.125.212,ARP,1,FALSE
10.40.32.99,169.253.125.212,ARP,1,FALSE
10.40.32.152,169.253.125.212,ARP,1,FALSE
10.40.34.32,169.253.125.212,ARP,1,FALSE
10.40.32.146,169.253.125.212,HTTP,1,TRUE
10.40.32.146,169.253.125.212,ARP,1,FALSE
10.40.32.105,169.253.125.212,ARP,1,FALSE
10.40.32.105,169.253.125.212,HTTP,1,TRUE
10.40.32.160,169.253.125.212,ARP,1,FALSE
10.40.32.124,169.253.125.212,ARP,1,FALSE
10.40.32.124,169.253.125.212,LANMAN,1,FALSE
10.40.32.124,169.253.125.212,NETBIOS-NAME,1,FALSE
10.40.34.32,169.253.125.212,HTTP,1,TRUE
10.40.34.31,169.253.125.212,ARP,1,FALSE
10.40.34.31,169.253.125.212,HTTP,1,TRUE
10.40.32.121,169.253.125.212,ARP,1,FALSE
10.40.32.122,169.253.125.212,HTTP,1,TRUE
10.40.32.1,169.253.125.212,NTP,1,FALSE
10.40.32.1,169.253.125.212,TCP,1,FALSE
10.40.32.1,169.253.125.212,UDP,1,FALSE
10.40.32.121,169.253.125.212,HTTP,1,TRUE
10.40.32.109,169.253.125.212,ARP,1,FALSE
10.40.32.140,169.253.125.212,ARP,1,FALSE
10.40.32.140,169.253.125.212,HTTP,1,TRUE
10.40.32.122,169.253.125.212,ARP,1,FALSE
10.40.32.121,169.253.125.212,HTTP,1,TRUE
10.40.32.114,169.253.125.212,HTTP,1,TRUE
10.40.32.153,169.253.125.212,ARP,1,FALSE
10.40.34.232,169.253.125.212,ARP,1,FALSE
10.40.32.114,169.253.125.212,ARP,1,FALSE
10.40.33.40,169.253.125.212,ARP,1,FALSE
10.40.33.40,169.253.125.212,HTTP,1,TRUE
10.40.32.200,169.253.125.212,ARP,1,FALSE
10.40.32.125,169.253.125.212,HTTP,1,TRUE
10.40.32.104,169.253.125.212,ARP,1,FALSE
10.40.32.104,169.253.125.212,HTTP,1,TRUE
10.40.32.136,169.253.125.212,ARP,1,FALSE
10.40.32.208,169.253.125.212,ARP,1,FALSE
10.40.32.165,169.253.125.212,HTTP,1,TRUE
10.40.32.165,169.253.125.212,TCP,1,FALSE
10.49.198.238,169.253.125.212,ARP,1,FALSE
10.49.198.238,169.253.125.212,HTTP,1,TRUE
10.49.198.238,169.253.125.212,TCP,1,FALSE
10.40.32.128,169.253.125.212,ARP,1,FALSE
10.40.32.128,169.253.125.212,HTTP,1,TRUE
10.40.32.205,169.253.125.212,ARP,1,FALSE
10.40.32.205,169.253.125.212,HTTP,1,TRUE
10.40.34.229,169.253.125.212,HTTP,1,TRUE
10.40.32.194,169.253.125.212,HTTP,1,TRUE
10.40.32.194,169.253.125.212,TCP,1,FALSE
10.40.34.146,169.253.125.212,ARP,1,FALSE
10.40.34.126,169.253.125.212,HTTP,1,TRUE
10.40.34.184,169.253.125.212,ARP,1,FALSE
10.40.34.184,169.253.125.212,HTTP,1,TRUE
10.40.32.128,169.253.125.212,HTTP,1,TRUE
10.40.34.164,169.253.125.212,ARP,1,FALSE
10.40.34.164,169.253.125.212,HTTP,1,TRUE
10.40.34.130,169.253.125.212,ARP,1,FALSE
10.40.34.126,169.253.125.212,ARP,1,FALSE
